,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
542,2,54,23,2,3,0,24,8,2
543,2,1,16,5,4,49,6,18,5
544,2,1,36,1,2,2,0,63,5
545,0,23,58,8,37,9,7,29,21
546,6,1,48,4,13,16,60,118,8
547,0,0,23,23,15,1,12,29,1
548,11,5,74,1,4,5,0,20,2
549,6,1,30,27,3,51,18,24,2
550,2,0,40,20,9,5,0,21,8
551,21,4,27,8,14,10,2,61,6
552,7,0,25,7,5,4,8,34,61
553,14,12,161,1,18,33,0,66,11
554,2,1,24,1,20,2,20,32,56
555,3,5,50,44,5,2,10,17,6
556,4,1,13,0,6,33,3,32,21
557,0,2,10,2,6,34,0,126,3
558,14,9,24,12,16,12,1,23,13
559,3,14,29,10,27,2,22,48,7
560,4,10,38,22,30,68,23,24,35
561,2,0,17,21,5,18,0,44,5
562,4,2,11,1,57,3,0,22,29
563,16,0,39,23,2,11,0,17,2
564,0,4,16,9,2,61,0,6,2
565,8,4,48,19,21,22,0,32,9
566,8,0,61,68,1,49,0,6,4
567,1,17,0,0,0,7,12,87,0
568,4,1,30,1,17,54,13,47,36
569,8,4,40,11,5,10,7,11,25
570,19,2,31,6,6,4,0,50,11
571,2,27,77,1,124,16,0,10,14
572,4,0,128,75,15,4,0,49,14
573,0,0,12,0,0,111,10,92,0
574,28,19,22,20,3,12,0,8,2
575,2,1,62,4,2,32,0,36,0
576,3,1,6,5,6,7,57,9,12
577,3,0,47,7,15,4,18,149,13
578,6,1,69,13,3,8,3,18,3
579,3,0,29,16,2,9,0,52,41
580,2,4,45,8,10,22,1,14,0
581,12,8,15,4,24,38,2,44,53
582,9,5,75,8,122,49,145,96,67
583,2,30,27,1,2,12,21,28,9
584,0,0,4,0,0,66,14,17,69
585,63,0,64,0,25,47,25,56,26
586,1,3,63,33,15,2,2,7,12
587,9,0,12,11,5,19,1,9,39
588,5,5,46,39,1,14,0,6,5
589,0,0,97,0,33,6,83,44,13
590,3,8,29,1,11,47,0,9,4
591,2,5,66,56,2,30,0,17,3
592,1,0,15,1,0,19,28,14,41
593,5,0,72,43,2,7,53,40,272
594,12,0,34,15,2,1,0,33,34
595,2,0,55,2,47,0,28,55,72
596,4,0,31,1,3,1,103,121,89
597,0,0,35,8,12,9,1,24,24
598,11,0,28,46,3,0,0,83,6
599,8,1,45,15,0,60,1,56,2
600,15,14,35,5,12,12,1,11,15
601,1,20,32,9,14,9,1,8,5
602,3,2,13,7,9,13,28,26,3
603,2,0,34,16,1,0,0,55,6
604,7,29,19,15,4,13,8,10,3
605,1,0,7,0,0,4,0,149,0
606,9,5,27,4,3,45,0,13,4
607,3,0,30,10,7,7,3,39,8
608,4,3,22,1,5,49,0,50,13
609,16,2,39,18,12,3,17,25,55
610,3,3,36,19,4,13,3,9,5
611,11,41,22,6,1,1,0,74,3
612,2,0,44,30,11,3,10,70,34
613,2,0,13,13,7,30,1,31,4
614,4,0,48,43,2,0,0,15,9
615,14,0,44,3,86,0,2,13,2
616,11,6,56,25,10,50,29,50,19
617,7,24,58,15,21,4,114,66,56
618,25,12,80,1,24,16,0,8,7
619,1,3,19,1,45,21,39,16,46
620,5,2,38,1,50,32,21,21,5
621,9,70,68,3,77,55,99,120,39
622,1,3,15,17,1,21,18,19,7
623,3,3,88,42,8,58,0,6,37
624,6,10,64,4,4,33,0,78,42
625,8,21,23,11,8,3,1,22,8
626,2,0,14,3,3,56,38,40,90
627,1,0,10,13,17,2,5,52,10
628,2,12,153,1,0,18,65,138,3
629,10,2,70,25,10,0,0,24,5
630,2,0,31,2,23,17,0,32,16
631,0,0,16,0,2,31,0,75,0
632,1,37,23,10,6,56,0,4,17
633,7,46,36,31,20,3,10,36,3
634,4,2,40,7,7,9,0,41,30
635,18,23,16,0,105,36,71,46,147
636,4,2,37,45,10,2,3,3,10
637,8,2,33,30,11,8,10,26,5
638,4,0,73,28,9,4,0,105,151
639,19,3,59,13,11,2,0,61,6
640,7,0,97,31,6,5,0,22,8
641,14,0,33,1,13,8,5,12,97
642,1,2,112,2,14,90,28,34,15
643,8,1,25,0,13,26,136,76,3
644,0,11,40,15,6,35,0,3,12
645,6,32,54,45,11,99,1,72,11
646,11,67,115,25,11,33,68,22,16
647,4,0,10,2,116,61,1,10,88
648,4,2,17,1,6,41,24,5,2
649,23,65,75,31,14,3,2,8,5
650,13,15,35,2,1,2,0,10,35
651,4,5,33,14,2,11,29,13,7
652,3,7,87,115,6,9,80,130,7
653,4,1,49,29,0,8,1,9,1
654,11,10,75,0,2,32,25,36,2
655,0,4,18,0,11,30,1,3,57
656,3,8,10,0,4,29,28,30,13
657,9,3,31,53,15,52,70,20,23
658,5,15,12,1,3,32,12,14,57
659,6,46,52,81,11,3,4,7,19
660,55,42,35,88,21,36,29,20,13
661,1,0,12,0,7,32,114,14,5
662,1,0,181,12,8,23,28,48,8
663,6,0,10,0,5,46,16,15,16
664,13,2,25,28,28,15,66,32,205
665,93,13,84,36,78,11,0,52,5
666,12,12,60,11,2,0,0,16,2
667,0,0,3,10,13,4,66,11,101
668,5,8,29,5,13,16,0,11,12
669,6,6,76,3,0,2,0,22,3
670,1,0,13,1,3,14,65,22,16
671,4,0,8,6,46,0,1,13,20
672,7,0,27,2,1,1,25,113,3
673,1,6,24,0,24,93,123,151,5
674,7,12,47,30,1,3,1,14,7
675,9,7,96,6,1,6,0,39,2
676,8,0,76,14,9,9,0,23,8
677,8,11,32,1,9,20,44,25,3
678,0,13,13,3,1,21,40,14,1
679,4,28,6,21,4,21,18,10,0
680,3,3,49,7,1,1,0,49,4
681,5,2,32,41,5,2,0,21,5
682,10,3,66,38,36,33,83,9,15
683,5,1,14,30,7,17,2,5,19
684,6,0,31,1,7,7,0,92,9
685,9,0,32,52,1,9,1,20,11
686,9,1,43,17,0,24,0,8,10
687,11,5,35,1,14,34,32,25,70
688,3,1,78,37,0,24,0,190,21
689,67,0,88,166,0,0,0,83,372
690,0,0,61,1,0,6,0,55,4
691,14,6,28,12,59,30,2,44,53
692,9,2,60,37,3,15,7,17,5
693,0,0,43,2,30,11,10,35,3
694,2,13,8,4,17,70,0,9,7
695,6,29,44,21,1,2,6,5,3
696,4,3,27,15,4,58,0,25,11
697,8,3,27,39,12,72,1,25,4
698,34,2,19,4,9,9,1,6,11
699,3,0,25,1,58,113,3,66,28
700,21,3,40,36,1,15,0,16,4
701,3,3,49,23,2,9,1,27,21
702,3,130,41,5,31,23,90,58,199
703,6,2,43,35,6,16,5,16,14
704,5,8,34,7,21,8,6,42,40
705,13,70,13,0,9,39,11,24,2
706,53,4,261,44,9,129,1,232,69
707,0,2,75,13,13,2,0,22,6
708,7,28,37,65,35,28,36,37,22
709,7,4,24,16,57,21,0,22,14
710,6,3,18,14,5,57,0,60,2
711,3,3,42,38,4,27,23,10,3
712,2,0,47,23,55,3,0,42,16
713,3,27,102,2,4,0,0,1,1
714,0,26,33,3,3,16,0,51,0
715,3,2,81,22,0,0,0,4,20
716,6,1,28,2,14,9,36,26,8
717,0,0,10,0,1,0,0,85,5
718,1,7,3,0,16,34,29,4,163
719,2,5,58,0,9,29,2,38,54
720,6,0,23,0,7,17,7,50,1
721,24,12,36,10,20,13,0,13,10
722,5,2,30,1,9,54,64,58,185
723,70,0,67,7,53,51,1,24,8
724,1,1,7,1,6,22,18,52,17
725,3,4,43,16,7,16,0,46,3
726,14,30,136,17,24,74,13,83,29
727,4,3,42,19,9,61,2,64,14
728,9,1,63,27,5,60,0,29,5
729,1,0,8,0,0,12,1,105,1
730,28,2,29,80,96,84,103,141,83
731,27,0,46,15,4,12,0,43,1
732,1,0,34,13,1,27,11,32,6
733,14,67,70,6,5,14,13,16,25
734,37,24,56,2,159,65,205,48,144
735,3,0,13,15,73,5,31,74,2
736,7,4,67,26,22,35,3,50,31
737,5,1,48,47,1,67,1,14,12
738,12,1,43,42,1,6,5,9,8
739,0,0,34,0,1,8,59,0,58
740,0,0,27,1,7,18,22,13,12
741,1,16,10,1,16,24,26,6,8
742,58,10,34,15,176,5,252,119,159
743,1,1,18,19,3,5,29,55,9
744,8,0,94,11,17,82,0,160,56
745,10,0,117,127,19,14,8,25,51
746,20,14,55,13,5,16,0,26,38
747,6,14,20,9,6,16,1,33,7
748,6,2,27,6,51,14,5,41,6
749,6,30,13,0,3,24,26,17,17
750,13,6,91,4,101,68,82,84,89
751,7,0,54,49,3,6,0,54,3
752,2,119,16,7,3,9,44,23,7
753,0,0,18,1,23,59,39,24,116
754,2,256,34,1,0,53,130,3,32
755,5,3,83,3,2,10,55,28,0
756,1,3,52,6,2,29,0,25,4
757,4,2,16,1,76,55,0,60,7
758,3,1,18,0,21,41,5,53,12
759,16,8,37,87,3,3,0,5,2
760,0,1,43,8,4,10,0,48,11
761,1,0,22,0,37,3,54,25,68
762,9,0,30,6,47,2,5,14,38
763,2,33,58,3,44,6,37,52,78
764,5,1,38,33,2,6,0,16,4
765,2,26,5,0,31,17,27,39,3
766,2,3,97,9,3,38,2,56,127
767,4,0,60,26,14,15,28,17,98
768,25,22,155,9,229,129,78,212,208
769,2,0,11,0,3,27,62,23,31
770,0,3,9,0,10,6,36,56,32
771,8,1,33,1,0,3,0,59,0
772,12,6,49,11,11,14,0,8,11
773,9,0,90,0,188,41,22,95,60
774,1,0,5,0,30,37,0,14,15
775,3,0,16,87,13,13,17,9,0
776,0,0,55,0,7,31,0,6,53
777,4,0,75,4,4,10,0,11,4
778,2,1,69,0,0,51,0,46,6
779,1,11,14,1,8,52,23,16,2
780,3,1,59,29,9,27,34,25,6
781,5,5,48,20,35,24,7,78,48
782,3,1,21,21,6,2,51,60,7
783,6,7,49,14,3,9,0,63,11
784,8,0,76,26,26,4,48,98,11
785,20,0,14,47,10,10,5,3,3
786,5,57,21,1,32,4,0,10,5
787,3,36,53,1,16,13,87,19,52
788,41,13,8,26,3,8,2,18,1
789,0,2,13,30,3,5,19,27,9
790,4,7,22,16,26,9,2,5,9
791,4,1,27,26,0,1,0,66,3
792,6,14,79,19,9,17,2,21,3
793,0,50,30,10,1,33,21,20,5
794,6,1,41,8,11,43,18,22,2
795,4,6,29,9,13,5,15,29,32
796,3,2,46,35,30,13,19,16,3
797,1,4,25,13,15,44,21,15,8
798,1,1,75,26,25,8,0,51,41
799,7,9,21,27,1,2,1,34,5
800,76,120,2,0,6,3,0,6,5
801,1,0,25,11,11,10,5,20,18
802,4,1,21,14,0,3,24,29,21
803,1,0,35,2,1,22,1,0,6
804,17,1,37,44,9,15,0,14,16
805,10,5,63,37,3,14,0,16,15
806,9,1,101,110,5,41,25,78,14
807,0,0,14,0,1,10,27,95,0
808,1,2,14,0,55,7,17,22,23
809,11,8,51,5,5,6,0,17,6
810,0,0,20,1,0,7,0,39,0
811,3,5,43,2,4,9,2,32,7
812,18,0,38,1,19,6,1,10,22
813,0,2,30,2,2,46,6,6,79
814,11,0,49,15,7,53,36,23,18
815,3,48,31,9,6,37,7,16,24
816,4,117,101,1,20,7,117,114,7
817,14,5,39,3,26,41,27,41,3
818,7,0,46,16,3,9,0,4,1
819,2,0,48,0,91,55,97,64,201
820,8,0,223,6,23,30,4,96,52
821,4,2,21,1,0,64,0,6,4
822,3,0,32,52,2,8,0,17,1
823,6,1,64,9,10,12,0,51,5
824,8,8,52,2,3,39,11,26,3
825,0,0,3,4,3,18,76,1,11
826,7,4,83,20,3,35,1,39,5
827,14,33,35,29,296,55,20,26,9
828,2,8,28,1,1,14,35,14,1
829,0,0,25,1,13,12,20,20,21
830,59,30,9,29,0,38,3,7,10
831,5,16,15,0,33,17,1,13,0
832,2,2,20,39,6,1,0,29,6
833,5,1,63,4,15,5,8,38,3
834,3,77,22,29,15,20,126,66,37
835,5,3,36,4,14,0,0,17,24
836,4,52,69,13,3,0,4,52,0
837,9,4,80,67,14,10,7,25,2
838,3,8,7,2,22,24,0,13,85
839,0,4,41,11,5,18,12,85,3
840,0,0,39,13,12,41,0,16,17
841,11,4,49,4,20,2,1,28,5
842,10,18,54,5,13,96,119,72,8
843,1,1,51,3,1,2,121,36,0
844,7,3,9,1,25,53,36,7,26
845,0,0,37,13,35,23,21,58,11
846,1,0,30,23,15,30,26,9,14
847,0,3,11,2,0,35,1,48,7
848,5,1,23,24,0,0,0,52,3
849,5,15,32,1,66,2,1,14,15
850,22,21,44,5,20,15,0,14,4
851,8,2,82,3,2,13,1,24,42
852,1,1,25,16,2,27,0,23,5
853,0,0,17,0,13,40,0,68,51
854,6,3,14,5,5,23,53,21,5
855,1,0,45,2,0,1,7,55,2
856,14,3,71,5,4,64,11,9,12
857,7,1,52,43,7,1,63,15,86
858,9,0,37,9,1,22,0,19,2
859,0,1,8,0,0,1,6,3,120
860,6,3,39,22,1,3,0,41,6
861,4,11,28,5,5,17,43,41,13
862,1,0,18,9,6,42,0,15,95
863,0,1,43,4,2,36,6,6,1
864,3,30,20,2,8,11,44,30,16
865,17,43,93,9,9,16,1,20,34
866,4,0,18,23,6,12,33,11,6
867,4,4,33,0,12,23,1,11,24
868,16,39,68,65,11,5,2,22,2
869,1,8,40,15,0,1,0,3,36
870,4,5,8,1,22,42,22,23,16
871,2,0,64,20,9,2,75,3,0
872,9,5,227,72,51,25,33,214,35
873,0,2,57,4,8,1,3,17,2
874,0,13,32,0,0,18,20,57,3
875,6,0,25,3,0,7,9,59,1
876,2,0,11,0,5,6,56,29,12
877,5,0,35,1,4,31,60,16,10
878,8,3,31,47,2,8,4,53,7
879,5,0,43,12,12,47,3,19,12
880,44,14,110,5,15,39,82,96,26
881,6,0,151,123,2,2,134,101,53
882,25,19,36,14,27,6,1,85,1
883,1,3,23,2,7,39,15,13,7
884,11,0,37,10,3,32,0,4,3
885,2,25,204,3,25,122,59,31,266
886,3,1,61,13,4,0,11,23,8
887,6,0,33,61,4,10,0,12,7
888,10,10,106,33,10,8,0,41,6
889,1,148,18,1,172,2,1,49,43
890,3,3,28,27,18,49,0,11,5
891,10,5,21,8,11,80,164,22,2
892,2,2,23,9,24,33,0,12,13
893,1,1,30,8,0,7,0,46,9
894,1,13,43,15,33,9,18,41,26
895,1,0,106,0,194,1,64,15,0
896,0,0,8,0,16,41,20,8,8
897,5,0,34,30,3,12,0,14,8
898,5,3,37,38,6,1,5,13,1
899,0,0,6,0,8,0,0,101,1
900,2,1,164,14,11,86,0,63,87
901,8,10,35,58,69,71,83,30,153
902,5,0,11,6,2,10,48,222,103
903,5,0,22,4,4,39,6,13,4
904,6,1,10,18,21,37,2,50,47
905,12,14,63,23,5,4,0,53,17
906,7,0,48,12,6,28,0,13,4
907,1,1,47,2,0,0,33,23,2
908,5,2,23,21,19,29,12,49,43
909,0,4,46,10,15,8,1,79,1
910,0,0,37,1,39,5,0,31,3
911,2,1,1,0,18,1,9,46,161
912,5,1,34,111,25,11,8,16,4
913,2,0,67,4,6,24,0,49,75
914,0,0,34,2,15,38,46,28,1
915,0,0,25,1,12,13,0,3,187
916,2,25,17,0,36,6,35,33,186
917,6,2,63,3,8,23,0,33,1
918,6,28,78,0,7,6,0,50,0
919,0,0,1,0,0,131,0,0,0
920,0,0,10,1,5,8,22,25,145
921,9,1,28,2,46,24,18,16,27
922,25,10,160,32,42,4,1,41,46
923,7,0,12,0,8,5,36,15,24
924,2,0,23,1,0,44,16,19,43
925,2,1,7,40,0,26,0,57,4
926,0,2,79,15,0,0,3,26,2
927,11,1,38,38,13,4,2,21,4
928,6,17,54,8,32,64,124,52,130
929,4,3,57,32,0,45,1,22,26
930,1,2,22,0,5,23,42,40,30
931,0,1,46,5,14,24,0,3,23
932,9,1,26,0,5,10,63,104,22
933,16,3,25,12,16,10,0,14,5
934,4,2,177,36,61,5,46,104,55
935,1,9,24,9,9,8,21,41,9
936,15,25,25,0,56,51,36,57,51
937,4,1,44,37,7,7,3,13,3
938,8,11,35,1,24,6,0,55,2
939,4,1,82,26,4,1,0,51,5
940,7,0,62,27,11,0,2,19,0
941,4,0,14,0,11,82,1,44,0
942,5,2,52,31,2,0,0,3,3
943,14,2,90,90,47,162,186,88,105
944,6,4,32,1,7,18,0,35,2
945,14,1,24,0,42,31,32,20,16
946,1,3,16,5,11,15,51,6,65
947,2,0,19,39,2,0,22,10,15
948,4,0,29,48,4,1,18,12,9
949,7,12,36,7,5,2,2,33,7
950,2,1,28,3,24,14,10,38,13
951,13,2,109,15,7,131,99,85,221
952,8,44,35,1,14,14,23,8,2
953,12,5,88,11,15,76,2,7,8
954,10,7,73,6,14,21,14,46,6
955,2,1,19,0,4,1,0,70,7
956,2,0,56,9,14,4,0,51,3
957,7,2,28,21,10,8,14,64,11
958,1,0,13,1,6,79,53,20,30
959,0,0,1,0,47,27,0,2,36
960,3,3,39,18,21,14,0,16,3
961,0,1,41,1,3,36,3,15,0
962,6,0,75,0,33,43,0,31,5
963,0,2,29,6,4,35,0,30,14
964,3,8,38,5,5,0,70,65,7
965,0,0,73,1,1,0,26,13,103
966,55,1,59,2,0,2,0,10,5
967,7,3,63,10,0,13,0,43,18
968,3,0,55,1,2,57,10,4,13
969,15,1,24,5,102,3,7,65,11
970,17,14,29,29,12,1,0,49,11
971,0,0,20,3,6,20,55,17,5
972,9,2,15,0,25,25,0,19,5
973,2,0,73,11,5,2,5,21,9
974,75,4,3,25,403,25,9,42,491
975,4,3,25,26,4,19,5,14,6
976,8,3,35,3,63,51,76,83,303
977,15,3,74,1,9,7,2,21,8
978,21,0,17,42,1,7,3,2,3
979,1,0,13,0,152,10,0,2,1
980,19,0,62,18,1,8,1,88,31
981,14,3,41,31,6,6,0,10,4
982,2,2,65,3,2,21,0,14,9
983,6,67,17,60,8,13,0,38,0
984,0,0,3,0,0,0,0,101,1
985,9,5,55,22,5,7,4,32,4
986,6,0,33,1,2,13,3,31,15
987,3,0,45,7,10,7,15,37,45
988,1,0,45,4,41,35,45,42,69
989,9,1,24,7,1,53,9,54,9
990,0,1,3,0,0,9,0,0,505
991,8,2,27,5,14,14,0,38,31
992,15,7,176,3,7,60,25,101,41
993,8,8,22,3,25,25,73,25,12
994,4,1,41,31,4,22,0,11,10
995,0,0,36,15,3,78,8,25,7
996,4,0,47,7,1,12,25,3,1
997,2,11,16,27,24,26,0,4,62
998,0,0,20,14,45,2,17,12,10
999,2,1,80,53,10,12,0,26,3
1000,3,8,0,0,6,0,0,0,160
1001,18,5,45,13,9,7,0,84,13
1002,1,0,41,3,5,27,16,24,4
1003,8,1,49,2,22,2,12,55,1
1004,2,0,9,1,11,23,30,18,22
1005,4,2,59,7,4,6,0,40,13
1006,0,0,79,0,58,87,102,13,4
1007,6,0,22,57,2,3,0,31,1
1008,4,1,23,1,7,10,17,24,28
1009,38,33,6,7,12,19,0,39,22
1010,0,3,29,2,8,36,32,25,0
1011,0,0,21,2,0,30,0,32,0
1012,12,12,32,9,44,15,38,63,46
1013,4,11,18,16,65,2,3,15,6
1014,10,0,43,21,16,4,2,63,2
1015,33,14,32,13,8,36,2,17,7
1016,5,2,44,2,14,53,143,52,9
1017,47,5,45,3,148,19,52,147,136
1018,15,1,39,1,7,26,2,11,24
1019,7,3,127,18,13,31,19,39,17
1020,4,16,13,1,8,4,32,37,28
1021,6,0,14,10,39,23,0,11,13
1022,17,10,8,6,12,27,2,12,7
1023,9,4,41,9,14,26,0,7,7
1024,4,1,18,8,8,10,20,15,31
1025,3,0,20,1,63,48,50,23,12
1026,1,0,30,2,16,0,0,41,28
1027,9,1,49,4,5,11,0,40,11
1028,7,5,31,8,7,20,8,34,21
1029,4,1,12,213,2,9,69,4,0
1030,5,1,16,9,8,0,11,53,3
1031,9,0,142,15,11,2,0,4,6
1032,4,0,7,0,0,17,56,18,1
1033,4,1,14,3,2,18,47,18,21
1034,16,13,20,8,11,16,0,21,1
1035,13,8,31,12,12,11,1,31,4
1036,2,2,51,0,2,19,2,22,4
1037,2,2,9,0,13,3,0,2,79
1038,6,3,72,3,8,14,4,27,5
1039,8,0,64,15,10,13,0,40,10
1040,15,1,64,93,9,55,32,56,13
1041,11,8,12,10,8,27,0,12,18
1042,14,6,36,21,12,70,1,12,6
1043,5,0,37,0,1,24,10,55,1
1044,1,6,19,10,13,46,4,64,213
1045,7,1,26,28,25,109,0,19,12
1046,10,7,20,1,4,34,26,35,1
1047,16,8,112,2,105,10,55,128,83
1048,1,0,138,18,0,0,0,8,0
1049,12,1,86,22,8,5,0,23,6
1050,1,0,10,1,23,9,29,29,16
1051,12,1,35,7,14,51,1,42,16
1052,7,0,17,1,14,4,1,16,41
1053,5,3,45,24,10,36,0,50,7
1054,30,12,52,24,68,76,190,68,49
1055,13,15,31,2,42,22,13,94,16
1056,4,3,36,2,9,11,2,29,16
1057,1,1,29,5,1,2,50,41,57
1058,2,0,28,3,8,37,4,13,98
1059,13,2,46,20,2,21,0,45,5
1060,0,1,1,2,0,35,1,6,75
1061,3,24,39,7,11,1,0,10,18
1062,2,0,34,0,24,24,14,17,56
1063,1,0,26,0,2,19,4,61,0
1064,9,2,53,9,9,9,0,12,13
1065,2,1,43,2,12,18,2,16,7
1066,6,3,22,3,1,30,2,16,15
1067,8,3,27,5,5,4,0,34,13
1068,4,0,66,23,55,8,1,115,1
1069,18,8,15,13,18,20,13,10,10
1070,3,48,42,4,111,3,0,46,3
1071,2,2,16,3,10,2,3,61,1
1072,5,5,23,29,14,3,2,16,9
1073,5,0,63,9,1,5,0,11,0
1074,3,0,16,2,2,69,3,25,97
1075,7,3,34,16,3,29,1,23,2
1076,1,0,56,13,1,3,0,90,1
1077,8,16,30,8,9,6,12,20,20
1078,0,0,34,0,0,43,75,2,1
1079,0,2,35,20,1,31,29,13,5
1080,4,3,44,19,2,17,22,9,6
1081,2,4,22,3,5,3,38,17,6
1082,0,0,22,11,5,33,36,5,146
1083,3,1,58,46,5,82,1,27,48
